S.No.,Company Name,Ticker,Sector
1,4Sight Holdings Limited,4SI,Financial Services
2,ABSA Bank Limited,ABSP,Banks
3,Barclays Africa Group Limited,ABG.ZA,Banks
4,Accelerate Property Fund Limited,APF,Real Estate Investment Trusts
5,Accentuate Limited,ACE,Chemicals
6,Acsion Limited,ACS,Real Estate Investment & Services
7,Adapt It Holdings Limited,ADI,Software & Computer Services
8,Adcock Ingram Holdings Limited,AIP,Pharmaceuticals & Biotechnology
9,Adcorp Holdings Limited,ADR,Support Services
10,Adrenna Property Group Limited,ANA,Real Estate Investment & Services
11,Advanced Health Limited,AVL,Health Care Equipment & Services
12,Advtech Limited,ADH,General Retailers
13,AECI Limited,AFE,Chemicals
14,AEP Energy Africa Limited,AEY,Financial Services
15,African And Overseas Enterprises Limited,AOO,General Retailers
16,African Bank Investments Limited,ABL,Financial Services
17,African Dawn Capital Limited,ADW,Financial Services
18,African Eagle Resources Plc,AEA,Industrial Metals & Mining
19,African Equity Empowerment Investments Limited,AEE,Financial Services
20,African Media Entertainment Limited,AME,Media
21,African Oxygen Limited,AFX,Chemicals
22,African Rainbow Minerals Limited,ARI,Industrial Metals & Mining
23,Afrimat Limited,AFT,Construction & Materials
24,Afrocentric Investment Corp Limited,ACT,Financial Services
25,AH-Vest Limited,AHL,Food Producers
26,Alaris Holdings Limited,ALH,Aerospace & Defense
27,Alert Steel Holdings Limited,AET,General Retailers
28,Alexander Forbes Group Holdings Limited,AFH,Financial Services
29,Allied Electronics Corporation Limited,AEL,Software & Computer Services
30,Alviva Holdings Limited,PNC,Technology Hardware & Equipment
31,Amalgamated Electronic Corp Limited,AER,Electronic & Electrical Equipment
32,Anchor Group Limited,ACG,Financial Services
33,Andulela Investment Holdings Limited,AND,Industrial Metals & Mining
34,Anglo American Platinium Limited,AMS,Mining
35,Anglo American Plc,AGL,Mining
36,Anglogold Ashanti Limited,ANG,Mining
37,AB InBev,ANB,Beverages
38,ARB Holdings Limited,ARH,Support Services
39,Arcelormittal South Africa Limited,ACL,Industrial Metals & Mining
40,Argent Industrial Limited,ART,Support Services
41,Arrowhead Properties Limited,AWA,Real Estate Investment Trusts
42,Ascendis Health Limited,ASC,Pharmaceuticals & Biotechnology
43,Ascension Properties Limited,AIA,Real Estate Investment Trusts
44,Aspen Pharmacare Holdings Limited,APN,Pharmaceuticals & Biotechnology
45,Assore Limited,ASR,Industrial Metals & Mining
46,Astoria Investments Limited,ARA,Financial Services
47,Astral Foods Limited,ARL,Food Producers
48,Astrapak Limited,APK,General Industrials
49,Atlantic Leaf Properties Limited,ALP,Real Estate Investment Trusts
50,Atlatsa Resources Corporation,ATL,Mining
51,Attacq Limited,ATT,Real Estate Investment & Services
52,Aveng Limited,AEG,Construction & Materials
53,AVI Limited,AVI,Food Producers
54,Avior Capital Markets Holdings Limited,AVR,Software & Computer Services
55,Awethu Breweries Limited,AWT,Food Producers
56,AYO Technology Solutions Limited,AYO,Software & Computer Services
57,Balwin Properties Pty Limited,BWN,Real Estate Investment & Services
58,Barloworld Limited,BAW,Support Services
59,Basil Read Holdings Limited,BSR,Construction & Materials
60,Bauba Platinum Limited,BAU,Mining
61,Beige Holdings Limited,BEG,Personal Goods
62,Bell Equipment Limited,BEL,Industrial Engineering
63,BHP Billiton Plc,BIL,Industrial Metals & Mining
64,Bid Corp Limited,BID,Health Care Equipment & Services
65,BK One Limited,BK1P,Financial Services
66,Blue Financial Services Limited,BFS,Financial Services
67,Blue Label Telecoms Limited,BLU,Support Services
68,Bonatla Property Holdings Limited,BNT,Real Estate Investment & Services
69,Bowler Metcalf Limited,BCF,Chemicals
70,Brainworks Limited,BWZ,Real Estate Investment & Services
71,Brait SE,BAT.ZA,Financial Services
72,Brikor Limited,BIK,Construction & Materials
73,Brimstone Investment Corporation Ld,BRT,Financial Services
74,British American Tobacco Plc,BTI,Tobacco
75,BSI Steel Limited,BSS,Industrial Metals & Mining
76,Buffalo Coal Corp,BUC,Mining
77,Buildmax Limited,BDM,"Oil Equipment, Services & Distribution"
78,Bytes Technology Group,BYI,Software & Computer Services
79,CAFCA Limited,CAC,Electronic & Electrical Equipment
80,Calgro M3 Holdings Limited,CGR,Real Estate Investment & Services
81,Capevin Holdings Limited,CVH,Beverages
82,Capital & Counties Properties Plc,CCO,Real Estate Investment & Services
83,Capital & Regional Plc,CRP,Real Estate Investment Trusts
84,Capital Appreciation Limited,CTA,Financial Services
85,Capitec Bank Holdings Limited,CPI,Banks
86,Cargo Carriers Limited,CRG,Industrial Transportation
87,Cartrack Holdings Limited,CTK,Technology Hardware & Equipment
88,Cashbuild Limited,CSB,General Retailers
89,Castleview Property Fund Limited,CVW,Real Estate Investment & Services
90,Caxton CTP Publishers & Printers Ltd,CAT,Media
91,Central Rand Gold Limited,CRD,Mining
92,Chemical Specialities Limited,CSP,Chemicals
93,Choppies Enterprises Limited,CHP,General Retailers
94,Chrometco Limited,CMO,Industrial Metals & Mining
95,City Lodge Hotels Limited,CLH,Travel & Leisure
96,Clicks Group Limited,CLS,Food & Drug Retailers
97,Clientele Limited,CLI,Life Insurance
98,Clover Industries Limited,CLR,Food Producers
99,Cognition Holdings Limited,CGN,Fixed Line Telecommunications
100,Comair Limited,COM,Travel & Leisure
101,Combined Motor Holdings Limited,CMH,General Retailers
102,Command Holdings Limited,CMA,General Retailers
103,Compagnie Financiere Richemont SA,CFR,Personal Goods
104,Conduit Capital Limited,CND,Nonlife Insurance
105,Consolidated Infrastructure Group Ltd,CIL,Construction & Materials
106,Coronation Fund Managers Limited,CML,Financial Services
107,Crookes Brothers Limited,CKS,Food Producers
108,CSG Holdings Limited,CSG,Support Services
109,Cullinan Holdings Limited,CUL,Travel & Leisure
110,Curro Holdings Limited,COH,General Retailers
111,Datatec Limited,DTC,Technology Hardware & Equipment
112,Delrand Resources Limited,DRN,Industrial Metals & Mining
113,Delta EMD Limited,DTA,Electronic & Electrical Equipment
114,Delta Property Fund Limited,DLT,Real Estate Investment Trusts
115,Deneb Investments Limited,DNB,Financial Services
116,Diamondcorp Plc,DMC,Industrial Metals & Mining
117,Dipula Income Fund Limited,DIA,Real Estate Investment Trusts
118,Dis-Chem Pharmacies,DCP,Food & Drug Retailers
119,Discovery Limited,DSY,Life Insurance
120,Distell Group Limited,DST,Beverages
121,Distribution And Warehousing Network Ld,DAW,Support Services
122,DRDGOLD Limited,DRD,Mining
123,E Media Holdings Limited,EMH,Personal Goods
124,Eastern Platinum Limited,EPS,Industrial Metals & Mining
125,Echo Polska Properties,EPP,Real Estate Investment & Services
126,Ecsponent Limited,ECS,Financial Services
127,Efficient Group Limited,EFG,Financial Services
128,Efora Energy Limited,EEL,Oil & Gas Producers
129,ELB Group Limited,ELR,Support Services
130,Ellies Holdings Limited,ELI,Technology Hardware & Equipment
131,Emira Property Fund Limited,EMI,Real Estate Investment Trusts
132,enX Group Limited,ENX,Support Services
133,EOH Holdings Limited,EOH,Software & Computer Services
134,EPE Capital Partners Limited (Ethos Capital),EPE,Financial Services
135,Eqstra Holdings Limited,EQS,Support Services
136,Equites Property Fund Limited,EQU,Real Estate Investment Trusts
137,Erin Energy Corporation,ERN,Oil & Gas Producers
138,Esor Limited,ESR,Construction & Materials
139,Etion Limited,ETO,Industrial Transportation
140,Masonite (Africa) Limited,MAS,Forestry & Paper
141,Evraz Highveld Steel & Vanadium Ltd,EHS,Industrial Metals & Mining
142,Exemplar REITail Limited,EXP,Real Estate Investment Trusts
143,Exxaro Resources Limited,EXX,Oil & Gas Producers
144,Fairvest Property Holdings Limited,FVT,Real Estate Investment & Services
145,Famous Brands Limited,FBR,Travel & Leisure
146,Ferrum Crescent Limited,FCR,Industrial Metals & Mining
147,Finbond Group Limited,FGL,Financial Services
148,Firestone Energy Limited,FSE,Mining
149,Firstrand Limited,FSR,Financial Services
150,Fortress Income Fund Limited,FFB,Real Estate Investment Trusts
151,Freedom Property Fund Ltd,FDP,Real Estate Investment & Services
152,GAIA Infrastructure Capital Limited,GAI,Financial Services
153,Giyani Gold Corporation,GIY,Industrial Metals & Mining
154,Glencore Plc,GLN,Mining
155,Global Asset Management Limited,GAM,Financial Services
156,Globe Trade Centre SA,GTC,Real Estate Investment & Services
157,Go Life International PCC,GLI,Health Care Equipment & Services
158,Gold Brands Investments Limited,GBI,Travel & Leisure
159,Gold Fields Limited,GFI,Mining
160,Gooderson Leisure Corporation Ltd,GDN,Travel & Leisure
161,Grand Parade Investments Limited,GPL,Travel & Leisure
162,Great Basin Gold Limited,GBG,Mining
163,Grindrod Limited,GND,Industrial Transportation
164,Grindrod Shipping Holdings Limited,GSH,Industrial Transportation
165,Grit Real Estate Income Group,GTR,Real Estate Investment Trusts
166,Group Five Limited,GRF,Construction & Materials
167,Growthpoint Properties Limited,GRT,Real Estate Investment Trusts
168,Harmony Gold Mining Company Limited,HAR,Mining
169,Heriot REIT Limited,HET,Real Estate Investment Trusts
